Combination,Perplexity,Early_exaggeration,Initial_momentum,Final_momentum,Theta,tSNE_runtime_min,KL_divergence
"(63.487394957983184, 7.0588235294117645, 0.2008403361344538, 0.8, 0.12)",63.487394957983184,7.0588235294117645,0.2008403361344538,0.8,0.12,20.594587123394014,2.436188026477513
"(75.67226890756302, 10.117647058823529, 0.35546218487394965, 0.8537815126050421, 0.4)",75.67226890756302,10.117647058823529,0.35546218487394965,0.8537815126050421,0.4,4.7968363205591835,2.361166007393466
"(43.99159663865546, 4.9411764705882355, 0.44285714285714284, 0.8672268907563025, 0.88)",43.99159663865546,4.9411764705882355,0.44285714285714284,0.8672268907563025,0.88,1.7203384995460511,2.5637185624811796
"(25.71428571428571, 4.235294117647059, 0.35546218487394965, 0.8050420168067227, 0.4)",25.71428571428571,4.235294117647059,0.35546218487394965,0.8050420168067227,0.4,4.145445823669434,2.759805282813053
"(34.24369747899159, 20.470588235294116, 0.33193277310924374, 0.9949579831932773, 0.43)",34.24369747899159,20.470588235294116,0.33193277310924374,0.9949579831932773,0.43,4.269935202598572,3.9537475350118356
"(148.781512605042, 5.647058823529411, 0.41932773109243704, 0.9697478991596639, 0.24)",148.781512605042,5.647058823529411,0.41932773109243704,0.9697478991596639,0.24,8.925517046451569,2.639174749961481
"(7.436974789915967, 8.470588235294118, 0.2781512605042017, 1.0, 0.19)",7.436974789915967,8.470588235294118,0.2781512605042017,1.0,0.19,10.817799178759257,4.559787509901011
"(51.30252100840336, 15.76470588235294, 0.11680672268907563, 0.9109243697478991, 0.58)",51.30252100840336,15.76470588235294,0.11680672268907563,0.9109243697478991,0.58,2.9871004819869995,2.5165461642907427
"(98.8235294117647, 24.235294117647058, 0.23109243697478993, 0.9411764705882353, 0.51)",98.8235294117647,24.235294117647058,0.23109243697478993,0.9411764705882353,0.51,3.77304429213206,2.2580715669994955
"(65.92436974789916, 5.411764705882353, 0.3420168067226891, 0.8638655462184874, 0.17)",65.92436974789916,5.411764705882353,0.3420168067226891,0.8638655462184874,0.17,12.535579629739125,2.4155131739622764
"(84.2016806722689, 22.352941176470587, 0.21764705882352942, 0.8084033613445378, 0.28)",84.2016806722689,22.352941176470587,0.21764705882352942,0.8084033613445378,0.28,7.6955052216847735,2.3044455233663967
"(54.95798319327731, 18.11764705882353, 0.2848739495798319, 0.8588235294117648, 0.34)",54.95798319327731,18.11764705882353,0.2848739495798319,0.8588235294117648,0.34,5.852175533771515,2.4867553295543345
"(17.18487394957983, 6.117647058823529, 0.49327731092436977, 0.8218487394957984, 0.55)",17.18487394957983,6.117647058823529,0.49327731092436977,0.8218487394957984,0.55,2.6155996799468992,2.8901490100625207
"(108.57142857142856, 10.352941176470587, 0.23781512605042018, 0.8739495798319328, 0.55)",108.57142857142856,10.352941176470587,0.23781512605042018,0.8739495798319328,0.55,3.443464469909668,2.18400410472327
"(113.4453781512605, 19.529411764705884, 0.16386554621848742, 0.9596638655462185, 0.15)",113.4453781512605,19.529411764705884,0.16386554621848742,0.9596638655462185,0.15,17.576953752835593,2.540283963274028
"(87.85714285714285, 14.823529411764707, 0.4126050420168067, 0.9831932773109244, 0.94)",87.85714285714285,14.823529411764707,0.4126050420168067,0.9831932773109244,0.94,1.9358516335487366,2.953382151963827
"(84.2016806722689, 21.41176470588235, 0.44285714285714284, 0.8621848739495799, 0.42)",84.2016806722689,21.41176470588235,0.44285714285714284,0.8621848739495799,0.42,4.71739491224289,2.3011485078470475
"(7.436974789915967, 13.411764705882353, 0.4529411764705883, 0.8218487394957984, 0.5)",7.436974789915967,13.411764705882353,0.4529411764705883,0.8218487394957984,0.5,2.9301369468371075,3.126241606084969
"(141.47058823529412, 14.588235294117647, 0.4159663865546219, 0.9647058823529412, 0.44)",141.47058823529412,14.588235294117647,0.4159663865546219,0.9647058823529412,0.44,4.593194568157196,2.619887513028635
"(140.2521008403361, 12.235294117647058, 0.4764705882352941, 0.9714285714285714, 0.68)",140.2521008403361,12.235294117647058,0.4764705882352941,0.9714285714285714,0.68,2.9066865046819053,2.7066808318565343
"(15.966386554621847, 16.941176470588236, 0.3453781512605042, 0.8268907563025211, 0.13)",15.966386554621847,16.941176470588236,0.3453781512605042,0.8268907563025211,0.13,19.17771959702174,2.937653500318273
"(120.7563025210084, 22.823529411764707, 0.48319327731092443, 0.934453781512605, 0.95)",120.7563025210084,22.823529411764707,0.48319327731092443,0.934453781512605,0.95,2.103807822863261,2.1601738882260992
"(20.84033613445378, 11.294117647058822, 0.22436974789915967, 0.9613445378151261, 0.42)",20.84033613445378,11.294117647058822,0.22436974789915967,0.9613445378151261,0.42,4.141514547665914,3.0008873123792936
"(87.85714285714285, 12.470588235294118, 0.4966386554621849, 0.8134453781512605, 0.26)",87.85714285714285,12.470588235294118,0.4966386554621849,0.8134453781512605,0.26,8.578192607561748,2.2953606656852354
"(23.277310924369747, 24.941176470588236, 0.48655462184873954, 0.8991596638655462, 0.93)",23.277310924369747,24.941176470588236,0.48655462184873954,0.8991596638655462,0.93,1.6977957844734193,2.81524465069076
"(26.932773109243694, 16.705882352941174, 0.4327731092436975, 0.8739495798319328, 0.92)",26.932773109243694,16.705882352941174,0.4327731092436975,0.8739495798319328,0.92,1.750254476070404,2.7579083823653416
"(114.66386554621847, 11.764705882352942, 0.15378151260504203, 0.8705882352941177, 0.76)",114.66386554621847,11.764705882352942,0.15378151260504203,0.8705882352941177,0.76,2.4718448956807455,2.1583848500621645
