Pipeline_index,Combination,Perplexity,Early_exaggeration,Initial_momentum,Final_momentum,Theta,tSNE_runtime_min,Affinity_runtime_min,KL_divergence
pipeline_0,"(5, 4, 0.1, 0.8, 0.25)",5,4,0.1,0.8,0.8,50.42816133101781,5.63257874250412,3.8182122818645645
pipeline_1,"(5, 4, 0.1, 0.8, 0.5)",5,4,0.1,0.8,0.8,17.06461846033732,5.63257874250412,3.8162978863315544
pipeline_2,"(5, 4, 0.1, 0.8, 0.75)",5,4,0.1,0.8,0.8,9.227856914202372,5.63257874250412,3.832423691133611
pipeline_3,"(5, 4, 0.1, 0.8, 1.0)",5,4,0.1,0.8,0.8,6.147007576624552,5.63257874250412,3.8471985301531006
pipeline_4,"(5, 4, 0.1, 0.9, 0.25)",5,4,0.1,0.9,0.9,50.56559946537018,5.63257874250412,3.8182122818645645
pipeline_5,"(5, 4, 0.1, 0.9, 0.5)",5,4,0.1,0.9,0.9,17.07042731444041,5.63257874250412,3.8162978863315544
pipeline_6,"(5, 4, 0.1, 0.9, 0.75)",5,4,0.1,0.9,0.9,9.222952942053476,5.63257874250412,3.832423691133611
pipeline_7,"(5, 4, 0.1, 0.9, 1.0)",5,4,0.1,0.9,0.9,6.151957241694133,5.63257874250412,3.8471985301531006
pipeline_8,"(5, 4, 0.1, 1.0, 0.25)",5,4,0.1,1.0,1.0,88.25791645447413,5.63257874250412,3.8182122818645645
pipeline_9,"(5, 4, 0.1, 1.0, 0.5)",5,4,0.1,1.0,1.0,17.034151057402294,5.63257874250412,3.8162978863315544
pipeline_10,"(5, 4, 0.1, 1.0, 0.75)",5,4,0.1,1.0,1.0,9.233786380290985,5.63257874250412,3.832423691133611
pipeline_11,"(5, 4, 0.1, 1.0, 1.0)",5,4,0.1,1.0,1.0,6.128422379493713,5.63257874250412,3.8471985301531006
pipeline_12,"(5, 4, 0.3, 0.8, 0.25)",5,4,0.3,0.8,0.8,52.0646595398585,5.63257874250412,3.8182122818645645
pipeline_13,"(5, 4, 0.3, 0.8, 0.5)",5,4,0.3,0.8,0.8,17.057283385594687,5.63257874250412,3.8162978863315544
pipeline_14,"(5, 4, 0.3, 0.8, 0.75)",5,4,0.3,0.8,0.8,9.230055093765259,5.63257874250412,3.832423691133611
pipeline_15,"(5, 4, 0.3, 0.8, 1.0)",5,4,0.3,0.8,0.8,6.1522588650385535,5.63257874250412,3.8471985301531006
pipeline_16,"(5, 4, 0.3, 0.9, 0.25)",5,4,0.3,0.9,0.9,51.94785779714584,5.63257874250412,3.8182122818645645
pipeline_17,"(5, 4, 0.3, 0.9, 0.5)",5,4,0.3,0.9,0.9,17.034838593006135,5.63257874250412,3.8162978863315544
pipeline_18,"(5, 4, 0.3, 0.9, 0.75)",5,4,0.3,0.9,0.9,9.197427582740783,5.63257874250412,3.832423691133611
pipeline_19,"(5, 4, 0.3, 0.9, 1.0)",5,4,0.3,0.9,0.9,6.129374396800995,5.63257874250412,3.8471985301531006
pipeline_20,"(5, 4, 0.3, 1.0, 0.25)",5,4,0.3,1.0,1.0,104.60521040360133,5.63257874250412,3.8182122818645645
pipeline_21,"(5, 4, 0.3, 1.0, 0.5)",5,4,0.3,1.0,1.0,17.208146580060323,5.63257874250412,3.8162978863315544
pipeline_22,"(5, 4, 0.3, 1.0, 0.75)",5,4,0.3,1.0,1.0,9.215572988986969,5.63257874250412,3.832423691133611
pipeline_23,"(5, 4, 0.3, 1.0, 1.0)",5,4,0.3,1.0,1.0,6.148113306363424,5.63257874250412,3.8471985301531006
pipeline_24,"(5, 4, 0.5, 0.8, 0.25)",5,4,0.5,0.8,0.8,52.01280105908712,5.63257874250412,3.8182122818645645
pipeline_25,"(5, 4, 0.5, 0.8, 0.5)",5,4,0.5,0.8,0.8,17.15165504614512,5.63257874250412,3.8162978863315544
pipeline_26,"(5, 4, 0.5, 0.8, 0.75)",5,4,0.5,0.8,0.8,9.215910840034486,5.63257874250412,3.832423691133611
pipeline_27,"(5, 4, 0.5, 0.8, 1.0)",5,4,0.5,0.8,0.8,6.147693435351054,5.63257874250412,3.8471985301531006
pipeline_28,"(5, 4, 0.5, 0.9, 0.25)",5,4,0.5,0.9,0.9,51.375313913822175,5.63257874250412,3.8182122818645645
pipeline_29,"(5, 4, 0.5, 0.9, 0.5)",5,4,0.5,0.9,0.9,17.147529983520506,5.63257874250412,3.8162978863315544
pipeline_30,"(5, 4, 0.5, 0.9, 0.75)",5,4,0.5,0.9,0.9,9.206073176860809,5.63257874250412,3.832423691133611
pipeline_31,"(5, 4, 0.5, 0.9, 1.0)",5,4,0.5,0.9,0.9,6.153339616457621,5.63257874250412,3.8471985301531006
pipeline_32,"(5, 4, 0.5, 1.0, 0.25)",5,4,0.5,1.0,1.0,51.317425934473675,5.63257874250412,3.8182122818645645
pipeline_33,"(5, 4, 0.5, 1.0, 0.5)",5,4,0.5,1.0,1.0,17.107729236284893,5.63257874250412,3.8162978863315544
pipeline_34,"(5, 4, 0.5, 1.0, 0.75)",5,4,0.5,1.0,1.0,9.250926844278972,5.63257874250412,3.832423691133611
pipeline_35,"(5, 4, 0.5, 1.0, 1.0)",5,4,0.5,1.0,1.0,6.164521547158559,5.63257874250412,3.8471985301531006
pipeline_36,"(5, 11, 0.1, 0.8, 0.25)",5,11,0.1,0.8,0.8,54.09468677441279,5.63257874250412,3.7937107588080448
